=== running parity_transformer ===
C:\Users\vaibhav mahore\Downloads\CV Update\s4-to-mamba\src\ssmbench\train\trainer.py:207: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:821.)
  ep_loss += float(loss)
[parity_mamba2] epoch 18/20 loss=0.6085 val={'loss': 0.6075, 'token_accuracy': 0.5632, 'sequence_success': 0.0}
[parity_mamba2] epoch 19/20 loss=0.6080 val={'loss': 0.6072, 'token_accuracy': 0.5635, 'sequence_success': 0.0}
[parity_mamba2] epoch 20/20 loss=0.6078 val={'loss': 0.6072, 'token_accuracy': 0.563, 'sequence_success': 0.0}
=== running parity_mamba3 ===
[parity_mamba3] epoch 1/20 loss=0.7727 val={'loss': 0.6949, 'token_accuracy': 0.5045, 'sequence_success': 0.0}
[parity_mamba3] epoch 2/20 loss=0.6932 val={'loss': 0.6925, 'token_accuracy': 0.5068, 'sequence_success': 0.0}
[parity_mamba3] epoch 3/20 loss=0.6910 val={'loss': 0.6891, 'token_accuracy': 0.5065, 'sequence_success': 0.0}
[parity_mamba3] epoch 4/20 loss=0.6849 val={'loss': 0.6783, 'token_accuracy': 0.514, 'sequence_success': 0.0}
[parity_mamba3] epoch 5/20 loss=0.6749 val={'loss': 0.67, 'token_accuracy': 0.5205, 'sequence_success': 0.0}
[parity_mamba3] epoch 6/20 loss=0.6699 val={'loss': 0.6676, 'token_accuracy': 0.5249, 'sequence_success': 0.0}
[parity_mamba3] epoch 7/20 loss=0.6626 val={'loss': 0.6532, 'token_accuracy': 0.5402, 'sequence_success': 0.0}
[parity_mamba3] epoch 8/20 loss=0.6467 val={'loss': 0.6306, 'token_accuracy': 0.5585, 'sequence_success': 0.0}
[parity_mamba3] epoch 9/20 loss=0.6353 val={'loss': 0.583, 'token_accuracy': 0.6287, 'sequence_success': 0.0}
[parity_mamba3] epoch 10/20 loss=0.6749 val={'loss': 0.8181, 'token_accuracy': 0.4802, 'sequence_success': 0.0}
[parity_mamba3] epoch 11/20 loss=0.6242 val={'loss': 0.5048, 'token_accuracy': 0.7312, 'sequence_success': 0.0}
[parity_mamba3] epoch 12/20 loss=0.5689 val={'loss': 0.3772, 'token_accuracy': 0.798, 'sequence_success': 0.0}
[parity_mamba3] epoch 13/20 loss=0.3786 val={'loss': 0.3604, 'token_accuracy': 0.7905, 'sequence_success': 0.0}
[parity_mamba3] epoch 14/20 loss=0.3218 val={'loss': 0.3176, 'token_accuracy': 0.8225, 'sequence_success': 0.001}
[parity_mamba3] epoch 15/20 loss=0.2400 val={'loss': 0.2028, 'token_accuracy': 0.9023, 'sequence_success': 0.03}
[parity_mamba3] epoch 16/20 loss=0.2712 val={'loss': 0.1492, 'token_accuracy': 0.9383, 'sequence_success': 0.096}
[parity_mamba3] epoch 17/20 loss=0.1377 val={'loss': 0.1218, 'token_accuracy': 0.959, 'sequence_success': 0.109}
[parity_mamba3] epoch 18/20 loss=0.1006 val={'loss': 0.0859, 'token_accuracy': 0.9768, 'sequence_success': 0.306}
[parity_mamba3] epoch 19/20 loss=0.0770 val={'loss': 0.0731, 'token_accuracy': 0.9822, 'sequence_success': 0.408}
[parity_mamba3] epoch 20/20 loss=0.0700 val={'loss': 0.0708, 'token_accuracy': 0.9834, 'sequence_success': 0.42}
=== running selective_copy_transformer ===
C:\Users\vaibhav mahore\Downloads\CV Update\s4-to-mamba\src\ssmbench\train\trainer.py:207: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\torch\csrc\autograd\generated\python_variable_methods.cpp:821.)
  ep_loss += float(loss)
[selective_copy_transformer] epoch 1/12 loss=2.8401 val={'loss': 2.8905, 'token_accuracy': 0.0785, 'sequence_success': 0.0}
[selective_copy_transformer] epoch 2/12 loss=1.0441 val={'loss': 3.2464, 'token_accuracy': 0.1299, 'sequence_success': 0.0}
[selective_copy_transformer] epoch 3/12 loss=0.2328 val={'loss': 3.354, 'token_accuracy': 0.1449, 'sequence_success': 0.0}
[selective_copy_transformer] epoch 4/12 loss=0.1196 val={'loss': 3.4658, 'token_accuracy': 0.1597, 'sequence_success': 0.0}
[selective_copy_transformer] epoch 5/12 loss=0.0965 val={'loss': 3.5636, 'token_accuracy': 0.1686, 'sequence_success': 0.0}
[selective_copy_transformer] epoch 6/12 loss=0.0664 val={'loss': 3.6394, 'token_accuracy': 0.1924, 'sequence_success': 0.0}
[selective_copy_transformer] epoch 7/12 loss=0.0190 val={'loss': 3.6901, 'token_accuracy': 0.2062, 'sequence_success': 0.0}
[selective_copy_transformer] epoch 8/12 loss=0.0090 val={'loss': 3.8328, 'token_accuracy': 0.2181, 'sequence_success': 0.0}
[selective_copy_transformer] epoch 9/12 loss=0.0029 val={'loss': 3.6959, 'token_accuracy': 0.197, 'sequence_success': 0.0}
[selective_copy_transformer] epoch 10/12 loss=0.0012 val={'loss': 3.7748, 'token_accuracy': 0.1999, 'sequence_success': 0.0}
[selective_copy_transformer] epoch 11/12 loss=0.0008 val={'loss': 3.7954, 'token_accuracy': 0.2043, 'sequence_success': 0.0}
[selective_copy_transformer] epoch 12/12 loss=0.0008 val={'loss': 3.799, 'token_accuracy': 0.2047, 'sequence_success': 0.0}
=== running selective_copy_s4d ===
[selective_copy_s4d] epoch 1/12 loss=2.8965 val={'loss': 2.8444, 'token_accuracy': 0.0579, 'sequence_success': 0.0}
[selective_copy_s4d] epoch 2/12 loss=2.8411 val={'loss': 2.842, 'token_accuracy': 0.0592, 'sequence_success': 0.0}
[selective_copy_s4d] epoch 3/12 loss=2.8382 val={'loss': 2.8377, 'token_accuracy': 0.0593, 'sequence_success': 0.0}
